WUC,POS,WUCPubId,WUCLaunchPoints
1192425,2,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-01AA-051A-A#DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-01AA-320A-A#DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-02AA-320A-A#DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-03AA-320A-A#DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-06AA-320A-A
1192425,3,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-01AA-051A-A#DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-01AA-320A-A#DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-02AA-320A-A#DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-03AA-320A-A#DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-06AA-320A-A
1192426,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-01AA-051A-A#DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-01AA-320A-A#DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-02AA-320A-A#DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-03AA-320A-A#DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-06AA-320A-A
11926,LH,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-02AA-320A-A
11926,LH,E2HAWKEYEE2D-26512-02030-00,DMC-E2HAWKEYEE2D-AAAA-E57-20-0190-01AA-520A-A
11926,RH,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-02AA-320A-A
11926,RH,E2HAWKEYEE2D-26512-02030-00,DMC-E2HAWKEYEE2D-AAAA-E57-20-0190-01AA-520A-A
1192H10,LH,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-02AA-320A-A
1192H10,LH,E2HAWKEYEE2D-26512-02030-00,DMC-E2HAWKEYEE2D-AAAA-E57-80-0220-01AA-520A-A
1192H10,RH,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-02AA-320A-A
1192H10,RH,E2HAWKEYEE2D-26512-02030-00,DMC-E2HAWKEYEE2D-AAAA-E57-80-0220-01AA-520A-A
1192R10,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-02AA-320A-A
1192R10,,E2HAWKEYEE2D-26512-02030-00,DMC-E2HAWKEYEE2D-AAAA-E57-20-0182-01AA-520A-A
1192R20,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-02AA-320A-A
1192R20,,E2HAWKEYEE2D-26512-02030-00,DMC-E2HAWKEYEE2D-AAAA-E57-20-0182-01AA-520A-A
1192S10,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-02AA-320A-A
1192S10,,E2HAWKEYEE2D-26512-02030-00,DMC-E2HAWKEYEE2D-AAAA-E57-20-0180-01AA-520A-A
1192S20,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-02AA-320A-A
1192S20,,E2HAWKEYEE2D-26512-02030-00,DMC-E2HAWKEYEE2D-AAAA-E57-20-0180-01AA-520A-A
1192T,LH,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-01AA-051A-A#DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-01AA-320A-A#DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-02AA-320A-A#DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-03AA-320A-A#DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-06AA-320A-A
1192T,RH,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-01AA-051A-A#DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-01AA-320A-A#DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-02AA-320A-A#DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-03AA-320A-A#DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-06AA-320A-A
11A1110,PTOT,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-10-0000-01AA-320A-A
11A1110,PTOT,E2HAWKEYEE2D-26512-02050-00,DMC-E2HAWKEYEE2D-AAAA-E32-10-0074-01AA-520A-A#DMC-E2HAWKEYEE2D-AAAA-E32-30-0215-01AA-320A-A
11A1110,STIN,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-10-0000-01AA-320A-A
11A1110,STIN,E2HAWKEYEE2D-26512-02050-00,DMC-E2HAWKEYEE2D-AAAA-E32-10-0074-01AA-520A-A#DMC-E2HAWKEYEE2D-AAAA-E32-30-0215-01AA-320A-A
11A1120,PTIN,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-10-0000-01AA-320A-A
11A1120,PTIN,E2HAWKEYEE2D-26512-02050-00,DMC-E2HAWKEYEE2D-AAAA-E32-10-0074-01AA-520A-A#DMC-E2HAWKEYEE2D-AAAA-E32-30-0215-01AA-320A-A
11A1120,STOT,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-10-0000-01AA-320A-A
11A1120,STOT,E2HAWKEYEE2D-26512-02050-00,DMC-E2HAWKEYEE2D-AAAA-E32-10-0074-01AA-520A-A#DMC-E2HAWKEYEE2D-AAAA-E32-30-0215-01AA-320A-A
11A1210,PTOT,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-10-0000-01AA-320A-A
11A1210,PTOT,E2HAWKEYEE2D-26512-02050-00,DMC-E2HAWKEYEE2D-AAAA-E32-10-0084-01AA-520A-A#DMC-E2HAWKEYEE2D-AAAA-E32-30-0215-01AA-320A-A
11A1210,STIN,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-10-0000-01AA-320A-A
11A1210,STIN,E2HAWKEYEE2D-26512-02050-00,DMC-E2HAWKEYEE2D-AAAA-E32-10-0084-01AA-520A-A#DMC-E2HAWKEYEE2D-AAAA-E32-30-0215-01AA-320A-A
11A1220,PTIN,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-10-0000-01AA-320A-A
11A1220,PTIN,E2HAWKEYEE2D-26512-02050-00,DMC-E2HAWKEYEE2D-AAAA-E32-10-0084-01AA-520A-A#DMC-E2HAWKEYEE2D-AAAA-E32-30-0215-01AA-320A-A
11A1220,STOT,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-10-0000-01AA-320A-A
11A1220,STOT,E2HAWKEYEE2D-26512-02050-00,DMC-E2HAWKEYEE2D-AAAA-E32-10-0084-01AA-520A-A#DMC-E2HAWKEYEE2D-AAAA-E32-30-0215-01AA-320A-A
11A31,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-20-0000-01AA-320A-A
11A31,,E2HAWKEYEE2D-26512-02050-00,DMC-E2HAWKEYEE2D-AAAA-E32-20-0175-01AA-520A-A
11A3410,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-20-0000-01AA-320A-A
11A3410,,E2HAWKEYEE2D-26512-02050-00,DMC-E2HAWKEYEE2D-AAAA-E32-20-0165-01AA-520A-A
11A3420,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-20-0000-01AA-320A-A
11A3420,,E2HAWKEYEE2D-26512-02050-00,DMC-E2HAWKEYEE2D-AAAA-E32-20-0165-01AA-520A-A
11E11,,E2HAWKEYEE2D-26512-02030-00,DMC-E2HAWKEYEE2D-AAAA-E53-50-0030-01AA-520A-A
11E11,,E2HAWKEYEE2D-26512-02161-00,DMC-E2HAWKEYEE2D-AAAA-E92-01-0000-03AA-320A-A
11E1300,,E2HAWKEYEE2D-26512-02030-00,DMC-E2HAWKEYEE2D-AAAA-E53-50-0040-01AA-520A-A
11E1300,,E2HAWKEYEE2D-26512-02161-00,DMC-E2HAWKEYEE2D-AAAA-E92-01-0000-03AA-320A-A
11E1500,,E2HAWKEYEE2D-26512-02161-00,DMC-E2HAWKEYEE2D-AAAA-E92-01-0000-01AA-051A-A#DMC-E2HAWKEYEE2D-AAAA-E92-01-0000-01AA-320A-A#DMC-E2HAWKEYEE2D-AAAA-E92-01-0000-03AA-320A-A
11E1510,,E2HAWKEYEE2D-26512-02161-00,DMC-E2HAWKEYEE2D-AAAA-E92-01-0000-01AA-018A-A#DMC-E2HAWKEYEE2D-AAAA-E92-01-0000-01AA-051A-A#DMC-E2HAWKEYEE2D-AAAA-E92-01-0000-03AA-320A-A#DMC-E2HAWKEYEE2D-AAAA-E92-22-1011-01AA-520A-A#DMC-E2HAWKEYEE2D-AAAA-E92-22-1011-01AA-720A-A
11E1520,,E2HAWKEYEE2D-26512-02161-00,DMC-E2HAWKEYEE2D-AAAA-E92-01-0000-01AA-018A-A#DMC-E2HAWKEYEE2D-AAAA-E92-01-0000-01AA-051A-A#DMC-E2HAWKEYEE2D-AAAA-E92-01-0000-03AA-320A-A#DMC-E2HAWKEYEE2D-AAAA-E92-22-1012-01AA-520A-A#DMC-E2HAWKEYEE2D-AAAA-E92-22-1012-01AA-720A-A
11E1530,,E2HAWKEYEE2D-26512-02161-00,DMC-E2HAWKEYEE2D-AAAA-E92-01-0000-01AA-018A-A#DMC-E2HAWKEYEE2D-AAAA-E92-01-0000-01AA-051A-A#DMC-E2HAWKEYEE2D-AAAA-E92-01-0000-03AA-320A-A#DMC-E2HAWKEYEE2D-AAAA-E92-22-1013-01AA-520A-A#DMC-E2HAWKEYEE2D-AAAA-E92-22-1013-01AA-720A-A
11E1540,,E2HAWKEYEE2D-26512-02161-00,DMC-E2HAWKEYEE2D-AAAA-E92-01-0000-01AA-018A-A#DMC-E2HAWKEYEE2D-AAAA-E92-01-0000-01AA-051A-A#DMC-E2HAWKEYEE2D-AAAA-E92-01-0000-03AA-320A-A#DMC-E2HAWKEYEE2D-AAAA-E92-22-1014-01AA-520A-A#DMC-E2HAWKEYEE2D-AAAA-E92-22-1014-01AA-720A-A
11E18,,E2HAWKEYEE2D-26512-02161-00,DMC-E2HAWKEYEE2D-AAAA-E92-01-0000-01AA-018A-A#DMC-E2HAWKEYEE2D-AAAA-E92-01-0000-01AA-051A-A#DMC-E2HAWKEYEE2D-AAAA-E92-01-0000-03AA-320A-A#DMC-E2HAWKEYEE2D-AAAA-E92-22-1020-01AA-520A-A#DMC-E2HAWKEYEE2D-AAAA-E92-22-1020-01AA-720A-A
11E1C,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-01AA-320A-A#DMC-E2HAWKEYEE2D-AAAA-E76-21-1200-01AA-320A-A
11E1C,,E2HAWKEYEE2D-26512-02090-00,DMC-E2HAWKEYEE2D-AAAA-E29-10-0035-01AA-320A-A#DMC-E2HAWKEYEE2D-AAAA-E29-10-0096-01AA-320A-A
11E1C,,E2HAWKEYEE2D-26512-02100-00,DMC-E2HAWKEYEE2D-AAAA-E72-01-0000-01AA-320A-A
1212A,,E2HAWKEYEE2D-26512-02000-00,DMC-E2HAWKEYEE2D-AAAA-E61-20-1575-01AA-520A-A
1213100,,E2HAWKEYEE2D-26512-02030-00,DMC-E2HAWKEYEE2D-AAAA-E95-10-0280-01AA-520A-A#DMC-E2HAWKEYEE2D-AAAA-E95-10-0300-01AA-320A-A
12131P0,,E2HAWKEYEE2D-26512-02030-00,DMC-E2HAWKEYEE2D-AAAA-E95-10-0282-01AA-520A-A#DMC-E2HAWKEYEE2D-AAAA-E95-10-0282-01AB-520A-A#DMC-E2HAWKEYEE2D-AAAA-E95-10-0282-01AC-520A-A#DMC-E2HAWKEYEE2D-AAAA-E95-10-0300-01AA-320A-A
1213200,,E2HAWKEYEE2D-26512-02030-00,DMC-E2HAWKEYEE2D-AAAA-E95-10-0280-01AA-520A-A#DMC-E2HAWKEYEE2D-AAAA-E95-10-0300-01AA-320A-A
12132C0,,E2HAWKEYEE2D-26512-02030-00,DMC-E2HAWKEYEE2D-AAAA-E95-10-0282-01AA-520A-A#DMC-E2HAWKEYEE2D-AAAA-E95-10-0282-01AB-520A-A#DMC-E2HAWKEYEE2D-AAAA-E95-10-0282-01AC-520A-A#DMC-E2HAWKEYEE2D-AAAA-E95-10-0300-01AA-320A-A
12144,,E2HAWKEYEE2D-26512-02030-00,DMC-E2HAWKEYEE2D-AAAA-E25-10-0315-01AA-520A-A
12220,ACO,E2HAWKEYEE2D-26512-02030-00,DMC-E2HAWKEYEE2D-AAAA-E95-10-0300-01AA-320A-A#DMC-E2HAWKEYEE2D-AAAA-E95-10-0300-01AA-520A-A#DMC-E2HAWKEYEE2D-AAAA-E95-10-0300-01AB-520A-A#DMC-E2HAWKEYEE2D-AAAA-E95-10-0300-01AC-520A-A
12220,CICO,E2HAWKEYEE2D-26512-02030-00,DMC-E2HAWKEYEE2D-AAAA-E95-10-0300-01AA-320A-A#DMC-E2HAWKEYEE2D-AAAA-E95-10-0300-01AA-520A-A#DMC-E2HAWKEYEE2D-AAAA-E95-10-0300-01AB-520A-A#DMC-E2HAWKEYEE2D-AAAA-E95-10-0300-01AC-520A-A
12220,RDO,E2HAWKEYEE2D-26512-02030-00,DMC-E2HAWKEYEE2D-AAAA-E95-10-0300-01AA-320A-A#DMC-E2HAWKEYEE2D-AAAA-E95-10-0300-01AA-520A-A#DMC-E2HAWKEYEE2D-AAAA-E95-10-0300-01AB-520A-A#DMC-E2HAWKEYEE2D-AAAA-E95-10-0300-01AC-520A-A
13G1000,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-20-0000-01AA-320A-A
13G1000,,E2HAWKEYEE2D-26512-02050-00,DMC-E2HAWKEYEE2D-AAAA-E32-20-0138-01AA-520A-A
13G1100,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-20-0000-01AA-320A-A
13G1100,,E2HAWKEYEE2D-26512-02050-00,DMC-E2HAWKEYEE2D-AAAA-E32-20-0144-01AA-520A-A#DMC-E2HAWKEYEE2D-AAAA-E32-20-0144-01AA-720A-A
13G1110,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-20-0000-01AA-320A-A
13G1130,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-20-0000-01AA-320A-A
13G1170,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-20-0000-01AA-320A-A
13G1170,,E2HAWKEYEE2D-26512-02050-00,DMC-E2HAWKEYEE2D-AAAA-E32-20-0405-01AA-921A-A
13G1200,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-20-0000-01AA-320A-A
13G1200,,E2HAWKEYEE2D-26512-02050-00,DMC-E2HAWKEYEE2D-AAAA-E32-20-0148-01AA-520A-A
13G1230,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-20-0000-01AA-320A-A
13G1240,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-20-0000-01AA-320A-A
13G1250,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-20-0000-01AA-320A-A
13G1260,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-20-0000-01AA-320A-A
13G1400,LH,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-20-0000-01AA-320A-A
13G1400,LH,E2HAWKEYEE2D-26512-02050-00,DMC-E2HAWKEYEE2D-AAAA-E32-20-0138-01AA-520A-A
13G1400,RH,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-20-0000-01AA-320A-A
13G1400,RH,E2HAWKEYEE2D-26512-02050-00,DMC-E2HAWKEYEE2D-AAAA-E32-20-0138-01AA-520A-A
13G1500,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-20-0000-01AA-320A-A
13G1510,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-20-0000-01AA-320A-A
13G1520,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-20-0000-01AA-320A-A
13G1530,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-20-0000-01AA-320A-A
13G1540,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-20-0000-01AA-320A-A
13G1550,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-20-0000-01AA-320A-A
13G1560,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-20-0000-01AA-320A-A
13G1600,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-00-0000-01AA-018A-A
13G1610,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-00-0000-01AA-018A-A
13G1610,,E2HAWKEYEE2D-26512-02050-00,DMC-E2HAWKEYEE2D-AAAA-E32-50-0315-01AA-520A-A
13G3110,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E32-10-0000-01AA-320A-A
13G3110,,E2HAWKEYEE2D-26512-02050-00,DMC-E2HAWKEYEE2D-AAAA-E32-10-0057-01AA-520A-A#DMC-E2HAWKEYEE2D-AAAA-E32-30-0215-01AA-320A-A
